Unnamed: 0,carat,cut,color,clarity,depth,table,x,y,z,price
163,0.3,Good,E,VVS2,59.8,64.0,4.34,4.29,2.58,814
12883,0.38,Ideal,G,SI2,61.2,56.0,4.7,4.74,2.89,602
10650,0.31,Ideal,D,SI1,62.2,54.0,4.36,4.39,2.72,565
15129,1.11,Ideal,H,VVS2,61.4,57.0,6.67,6.63,4.08,6962
12882,2.1,Ideal,I,SI2,61.9,56.0,8.22,8.2,5.08,15653
1834,1.01,Premium,D,SI1,62.6,58.0,6.33,6.44,4.0,5443
14094,0.72,Ideal,G,VS1,61.7,56.0,5.75,5.78,3.56,3478
20542,1.52,Ideal,E,VS2,62.4,55.0,7.42,7.32,4.6,15488
3312,0.61,Very Good,D,SI1,62.4,59.0,5.42,5.45,3.39,1622
14889,0.7,Premium,F,SI1,62.6,55.0,5.65,4.5,3.0,2184
14956,0.43,Ideal,G,VVS2,61.9,55.0,4.86,4.84,3.0,1129
13624,2.03,Fair,H,I1,64.4,59.0,7.91,7.85,5.07,6002
25359,0.32,Ideal,I,SI1,60.5,58.0,4.43,4.49,2.7,450
22500,0.71,Ideal,I,SI1,61.5,55.0,5.76,5.79,3.55,2721
16363,2.26,Ideal,J,VS2,61.1,57.0,8.44,8.47,5.17,17010
16076,0.89,Ideal,E,SI2,61.8,56.0,6.15,6.19,3.81,3872
17262,0.78,Premium,F,SI1,61.5,59.0,5.96,5.88,3.64,2816
25430,0.42,Very Good,I,VS1,60.4,60.0,4.82,4.88,2.93,791
10367,0.73,Ideal,E,VS2,61.4,55.0,5.82,5.8,3.57,2902
22790,0.5,Premium,G,SI2,60.7,57.0,5.15,5.07,3.1,978
26240,0.41,Very Good,F,VS1,61.5,57.0,4.77,4.81,2.95,974
13866,0.26,Ideal,H,IF,62.1,55.0,4.09,4.13,2.55,545
16084,0.65,Premium,I,SI2,60.7,58.0,5.65,5.62,3.42,1219
4593,0.52,Ideal,G,VVS2,60.8,57.0,5.16,5.21,3.15,1911
8111,0.32,Ideal,E,VS2,61.5,55.0,4.43,4.38,2.71,900
8024,0.3,Very Good,I,SI1,62.2,57.0,4.25,4.27,2.65,394
24444,0.81,Premium,E,SI2,59.9,61.0,6.08,6.05,3.63,2559
4300,2.05,Ideal,F,SI2,62.2,57.0,8.19,8.12,5.07,12743
13760,0.53,Very Good,H,VVS2,61.3,61.0,5.15,5.2,3.17,1548
18379,0.26,Ideal,F,VS1,62.3,56.0,4.1,4.08,2.55,580
6638,1.21,Very Good,J,VS2,60.9,58.0,6.86,6.91,4.19,4816
15116,0.4,Good,E,SI1,64.2,56.0,4.69,4.66,3.0,882
9481,2.08,Premium,I,SI2,,58.0,8.18,8.13,5.08,14947
393,0.58,Ideal,E,VS2,61.8,57.0,5.32,5.36,3.3,1903
19383,1.02,Premium,E,VS2,58.4,57.0,6.64,6.59,3.86,6854
26243,0.9,Fair,J,VS1,64.6,58.0,6.12,6.06,3.93,2964
5584,0.56,Premium,E,VVS2,61.5,58.0,5.3,5.33,3.27,2279
11424,0.31,Ideal,G,VS2,62.7,57.0,4.34,4.31,2.71,698
1426,1.37,Very Good,I,SI2,62.2,59.0,7.07,7.17,4.43,5834
25427,0.3,Very Good,F,VS2,63.0,55.0,4.28,4.29,2.7,524
25158,0.31,Premium,D,SI2,61.8,60.0,4.37,4.33,2.69,593
21156,0.51,Very Good,E,SI1,62.3,58.0,5.05,5.12,3.17,1438
23537,1.56,Ideal,G,SI1,61.2,56.0,7.49,7.51,4.59,11522
26765,1.03,Very Good,F,SI1,61.5,59.0,6.42,6.49,3.97,4996
5383,0.3,Ideal,E,VVS2,62.3,56.0,4.3,4.34,2.69,766
15040,0.33,Ideal,G,VVS2,61.7,56.0,4.42,4.46,2.74,752
15153,1.21,Very Good,D,VS2,62.6,59.0,6.72,6.79,4.23,8969
9913,1.01,Good,D,SI1,58.5,64.0,6.4,6.45,3.76,5271
17953,1.03,Ideal,E,VS1,61.7,56.0,6.47,6.53,4.01,8284
21541,0.37,Premium,E,VVS2,59.7,61.0,4.71,4.67,2.8,1082
12827,0.73,Ideal,D,VVS2,61.3,56.0,5.79,5.82,3.56,4372
3799,1.22,Ideal,F,VS2,61.5,57.0,6.87,6.91,4.24,8783
588,0.3,Premium,G,VS1,62.3,59.0,4.3,4.27,2.67,776
25850,0.33,Ideal,F,VVS2,60.9,56.0,4.47,4.5,2.73,974
20276,0.51,Very Good,G,VVS2,62.6,59.0,5.08,5.11,3.19,1768
19967,1.85,Ideal,I,VVS2,62.4,57.0,7.91,7.86,4.92,14245
12643,2.01,Premium,J,SI2,62.4,59.0,8.05,8.1,5.04,12105
1170,1.22,Premium,H,SI2,61.3,60.0,6.87,6.81,4.19,4509
6620,1.2,Premium,I,SI2,60.0,58.0,6.93,6.91,4.15,5080
25888,0.33,Ideal,E,VVS1,61.7,56.0,4.42,4.46,2.74,984
26505,1.06,Ideal,E,SI1,59.6,54.0,6.64,6.62,3.95,5250
8636,0.74,Premium,D,VS1,62.3,58.0,5.79,5.77,3.6,3461
19054,0.56,Ideal,D,SI1,60.5,57.0,5.31,5.36,3.23,1723
2960,0.51,Good,E,SI1,63.5,54.0,5.07,5.1,3.23,1343
16508,0.51,Ideal,D,VS1,60.9,57.0,5.2,5.17,3.16,1845
23270,0.71,Very Good,G,SI1,60.0,59.0,5.76,5.8,3.47,2711
14352,1.1,Premium,J,VS2,61.2,57.0,6.66,6.61,4.06,3696
1738,1.06,Ideal,D,SI2,62.3,55.0,6.5,6.54,4.06,5159
26420,0.75,Very Good,J,SI1,61.7,56.0,5.81,5.92,3.62,1859
16589,1.22,Very Good,E,VS2,60.8,59.0,6.87,6.91,4.19,9475
22121,1.04,Premium,G,VS2,60.1,59.0,6.56,6.59,3.95,6589
22399,1.0,Fair,J,SI2,69.9,61.0,6.13,5.86,4.23,2117
13167,0.73,Ideal,I,VS2,60.8,56.0,5.82,5.85,3.55,3438
24470,0.5,Premium,E,VS2,60.5,60.0,5.09,5.13,3.09,1581
26525,0.55,Ideal,F,VS2,62.7,55.0,5.26,5.24,3.29,1698
9714,0.33,Very Good,G,VVS1,61.4,60.0,4.39,4.44,2.71,868
798,1.15,Ideal,E,VVS2,61.5,57.0,6.72,6.75,4.14,12193
16196,1.16,Ideal,G,VVS1,,57.0,6.72,6.74,4.17,9526
7924,0.72,Very Good,I,VS1,63.8,59.0,5.63,5.71,3.62,2441
15543,0.91,Ideal,G,SI1,62.0,56.0,6.19,6.22,3.85,4922
1675,1.12,Very Good,F,SI1,61.4,63.0,6.7,6.68,4.11,5374
15019,0.3,Ideal,G,VS1,59.9,56.0,4.37,4.41,2.63,605
11588,0.33,Premium,I,VS2,,58.0,4.42,4.34,2.74,594
24557,0.26,Premium,E,VS2,60.4,58.0,4.19,4.15,2.52,580
4631,0.38,Ideal,E,SI2,62.1,54.1,4.64,4.69,2.9,628
1044,1.0,Very Good,G,VVS2,62.7,57.0,6.32,6.37,3.98,7950
17219,1.01,Very Good,D,SI2,61.8,60.0,6.37,6.41,3.95,4588
5366,1.51,Premium,F,VS2,62.2,60.0,7.25,7.34,4.54,13474
22598,2.05,Premium,H,SI2,62.5,58.0,8.12,8.08,5.06,16431
15536,0.78,Ideal,D,VS2,61.9,56.0,5.89,5.91,3.65,3811
12398,0.5,Ideal,E,VS2,63.8,54.0,5.07,5.05,3.23,1845
24030,0.32,Ideal,F,VS2,62.1,57.0,4.35,4.38,2.71,645
7904,0.6,Very Good,D,VVS2,,57.0,5.48,5.51,3.33,2897
20629,2.59,Ideal,J,VS1,61.7,56.0,8.83,8.77,5.43,16465
23030,2.28,Very Good,I,SI2,62.9,57.0,8.34,8.41,5.27,16041
1108,1.05,Premium,G,SI2,61.3,58.0,6.55,6.6,4.03,4241
18472,0.34,Premium,G,VS2,61.6,60.0,4.47,4.49,2.76,596
11107,1.01,Premium,D,VVS2,62.4,60.0,6.31,6.36,3.95,10221
13896,0.74,Ideal,F,VS1,61.9,54.0,5.78,5.82,3.59,3590
9196,2.02,Premium,G,SI2,61.3,56.0,8.22,8.16,5.02,16929
6758,1.01,Ideal,G,VS2,61.9,58.0,6.37,6.43,3.96,6449
17784,1.21,Fair,J,SI2,64.6,59.0,6.74,6.64,4.32,3984
21099,1.5,Very Good,E,SI1,59.6,58.0,7.38,7.41,4.41,11586
3125,0.54,Premium,G,VS2,61.0,60.0,5.24,5.18,3.18,1637
9471,1.54,Very Good,I,VS2,62.2,58.0,7.32,7.37,4.57,8656
9819,0.35,Ideal,F,VS2,61.4,54.0,4.58,4.54,2.8,906
13699,0.74,Premium,G,SI2,60.1,58.0,5.89,5.86,3.53,2206
26459,0.23,Very Good,E,VVS2,61.1,59.0,3.94,3.98,2.42,505
9155,1.0,Very Good,G,VS2,63.8,58.0,6.31,6.35,4.04,6389
15564,1.2,Very Good,E,SI2,61.4,58.0,6.81,6.88,4.2,6130
19438,2.06,Very Good,J,VS2,61.8,59.0,8.14,8.2,5.05,13948
20280,0.32,Ideal,H,VS1,61.8,55.0,4.41,4.42,2.73,561
21260,1.25,Premium,H,SI2,60.5,61.0,6.97,6.91,4.2,4200
5865,0.9,Very Good,E,VS1,62.3,56.0,6.1,6.19,3.83,5001
14056,0.76,Ideal,I,SI1,61.9,56.0,5.85,5.88,3.63,2358
16894,0.5,Premium,G,SI2,58.6,61.0,5.21,5.16,3.04,1078
11743,2.01,Premium,I,SI1,61.0,60.0,8.16,8.11,4.96,12617
15526,0.41,Good,I,SI2,63.5,57.0,4.7,4.72,2.99,539
8879,0.71,Premium,E,VS2,59.9,58.0,5.78,5.81,3.47,2711
10101,0.7,Ideal,E,VS1,61.0,56.0,5.7,5.77,3.5,3446
25295,0.35,Ideal,E,VS2,61.9,54.0,4.53,4.58,2.82,923
22756,1.11,Ideal,H,SI2,62.7,57.0,6.66,6.59,4.14,4662
14117,1.01,Good,F,VS2,63.1,60.0,6.36,6.39,4.02,6416
8606,0.34,Good,E,SI2,63.1,56.0,4.46,4.51,2.83,445
16429,0.73,Premium,F,I1,59.3,61.0,5.88,5.75,3.46,1207
13300,0.7,Very Good,E,VS2,60.2,62.0,5.71,5.75,3.45,2843
7746,0.33,Ideal,G,VVS1,,56.0,4.48,4.45,2.77,1114
18424,0.39,Ideal,H,IF,61.9,55.6,4.68,4.7,2.91,1039
6782,0.32,Ideal,E,IF,62.6,55.0,4.38,4.41,2.75,1095
6585,0.28,Very Good,E,VVS2,61.0,57.0,4.22,4.25,2.58,707
4421,1.21,Ideal,J,VS1,61.8,56.2,6.78,6.86,4.2,5604
13044,0.32,Ideal,F,VVS1,62.3,56.0,4.35,4.38,2.72,926
4580,1.38,Ideal,I,SI2,61.8,57.0,7.14,7.1,4.4,5796
2979,0.54,Premium,F,VS2,61.8,58.0,5.22,5.29,3.25,1662
2235,0.55,Ideal,E,VS2,61.4,56.0,5.32,5.26,3.25,1792
7415,0.35,Premium,E,VVS1,61.0,58.0,4.52,4.56,2.77,1044
14293,0.3,Ideal,F,VS2,61.9,55.0,4.32,4.31,2.67,776
20312,0.31,Ideal,F,VS2,62.1,53.0,4.34,4.39,2.71,625
20757,2.0,Very Good,H,SI2,63.0,59.0,7.94,8.07,5.04,15694
914,0.62,Premium,J,VVS2,60.9,58.0,5.5,5.56,3.37,1415
16441,0.8,Ideal,I,IF,62.4,58.0,5.9,5.96,3.7,3357
2028,1.01,Good,E,VVS2,63.3,58.0,6.31,6.39,4.02,8752
21115,0.4,Good,I,SI1,63.2,54.0,4.67,4.69,2.96,596
19948,0.33,Premium,H,VVS1,61.4,59.0,4.42,4.44,2.72,752
4743,0.9,Very Good,H,SI1,62.6,58.0,6.08,6.12,3.82,3447
5345,1.52,Good,E,VS1,63.9,56.0,7.21,7.25,4.62,15649
11574,0.32,Ideal,E,VS2,62.8,54.0,4.38,4.35,2.74,900
20187,0.7,Good,H,VS2,,65.0,5.69,5.76,3.37,2187
19757,1.44,Fair,H,VS1,58.1,69.0,7.49,7.34,4.32,7338
5662,0.41,Premium,F,SI1,61.0,60.0,4.77,4.81,2.92,755
3341,1.52,Premium,D,SI2,59.1,58.0,7.48,7.45,4.41,9959
5347,0.32,Ideal,F,IF,61.3,57.0,4.42,4.46,2.72,943
17393,0.5,Premium,E,SI1,61.4,59.0,5.09,5.01,3.1,1155
19103,1.08,Premium,G,SI2,59.8,57.0,6.72,6.66,4.0,4318
8398,0.7,Ideal,F,SI2,62.6,53.0,5.72,5.69,3.57,2011
8005,0.5,Very Good,H,VS2,61.8,63.0,5.05,5.08,3.13,1074
16554,0.39,Premium,H,VS1,61.7,57.0,4.68,4.65,2.88,1009
18509,1.05,Ideal,G,SI1,59.7,56.0,6.67,6.64,3.97,5204
80,2.16,Premium,H,SI2,62.3,57.0,8.29,8.22,5.14,11473
3533,0.41,Very Good,G,VS1,61.7,57.0,4.75,4.78,2.94,899
13902,0.55,Ideal,G,VS2,60.1,55.0,5.33,5.37,3.22,1634
1706,0.32,Premium,H,VVS1,61.4,58.0,4.42,4.37,2.7,936
18446,0.7,Ideal,D,SI2,62.1,56.0,5.67,5.71,3.53,2575
7512,0.7,Good,H,VS2,59.7,57.0,5.75,5.8,3.45,2347
19134,0.53,Premium,F,VS1,59.4,58.0,5.32,5.28,3.15,1766
14277,0.71,Good,H,SI1,63.1,57.0,5.61,5.65,3.55,2096
12679,1.02,Ideal,J,VVS2,62.1,57.0,6.46,6.43,4.0,3936
26538,0.72,Ideal,G,VS1,62.4,59.0,5.71,5.74,3.57,3035
14236,1.36,Premium,J,VS2,58.4,59.0,7.4,7.27,4.28,6157
11828,1.09,Ideal,E,SI2,59.4,57.0,6.74,6.65,3.98,3760
26181,1.18,Very Good,E,VVS2,61.5,58.0,6.78,6.87,4.2,12100
14370,0.97,Ideal,H,SI2,60.7,55.0,6.47,6.41,3.91,3729
6670,1.2,Premium,H,VS2,62.4,57.0,6.73,6.67,4.18,6048
9479,1.51,Good,E,SI1,63.5,57.0,7.23,7.28,4.61,10696
13073,0.55,Ideal,H,SI1,62.1,56.0,5.2,5.26,3.25,1319
6115,0.3,Ideal,F,IF,62.3,55.0,4.3,4.34,2.69,886
24029,1.2,Very Good,F,SI1,63.5,57.0,6.65,6.74,4.25,6872
12165,0.33,Ideal,F,VVS1,60.6,59.0,4.45,4.5,2.71,828
22142,0.3,Ideal,G,IF,61.4,57.0,4.33,4.37,2.67,895
16139,1.08,Ideal,H,SI1,62.2,57.0,6.6,6.56,4.09,4413
21832,0.53,Ideal,G,VVS2,62.1,54.0,5.18,5.22,3.23,1893
7247,0.51,Ideal,E,SI1,62.4,55.0,5.09,5.14,3.19,1343
6039,1.01,Ideal,G,SI2,61.7,56.0,6.47,6.43,3.98,4260
20432,1.0,Good,E,VS2,57.4,58.0,6.57,6.61,3.78,6050
12034,0.3,Ideal,G,VS1,62.0,56.0,4.29,4.32,2.67,624
6888,0.7,Premium,D,SI2,60.5,58.0,5.8,5.74,3.49,2354
22792,1.01,Good,E,SI1,63.7,58.0,6.36,6.32,4.04,5226
13675,0.53,Ideal,G,SI1,60.7,56.0,5.22,5.27,3.18,1371
23660,0.36,Ideal,D,SI1,62.7,57.0,4.54,4.59,2.86,663
16122,0.32,Ideal,D,VS2,62.6,57.0,4.37,4.41,2.75,758
6140,1.23,Very Good,J,VS2,62.9,59.0,6.8,6.85,4.29,4896
7360,0.43,Premium,D,VS2,60.2,59.0,4.88,4.92,2.95,1056
16717,0.51,Good,E,SI1,63.6,59.0,5.13,5.06,3.24,1241
20648,1.02,Premium,G,VS2,62.7,58.0,6.44,6.36,4.01,5407
2198,0.54,Ideal,F,VVS2,,56.0,5.27,5.3,3.21,2582
11523,0.31,Ideal,G,IF,61.6,56.0,4.37,4.4,2.7,839
5208,0.3,Ideal,D,VS1,62.2,57.0,4.26,4.29,2.66,718
12528,1.02,Premium,H,SI1,61.8,56.0,6.47,6.42,3.98,4102
9706,0.34,Ideal,E,VS1,61.8,56.0,4.51,4.47,2.78,1033
23245,0.53,Ideal,D,IF,61.5,54.0,5.27,5.21,3.22,3517
12351,0.3,Premium,F,SI2,62.2,58.0,4.33,4.22,2.66,506
25621,0.31,Ideal,E,VS1,61.6,56.0,4.35,4.38,2.69,734
14055,1.5,Fair,D,SI2,68.8,57.0,6.9,6.86,4.73,7469
6478,0.71,Ideal,G,SI1,61.6,57.0,5.73,5.76,3.54,3007
5477,0.32,Ideal,D,SI1,60.8,57.0,4.41,4.44,2.69,589
5600,0.7,Good,E,VS1,60.2,61.0,5.71,5.75,3.45,3018
10817,0.41,Good,F,SI1,63.7,58.0,4.74,4.71,3.01,904
7564,0.9,Premium,E,SI2,62.6,60.0,6.18,6.09,3.84,3599
18261,0.3,Ideal,F,VS1,62.1,56.0,4.29,4.32,2.67,673
17804,0.3,Ideal,E,VS2,61.2,55.0,4.31,4.35,2.65,658
11652,0.47,Ideal,D,VVS1,62.1,55.0,4.98,5.01,3.1,2460
22810,0.77,Very Good,I,VS2,63.2,58.0,5.79,5.85,3.68,2513
5643,0.38,Premium,E,VS2,61.8,58.0,4.61,4.64,2.86,866
3524,0.33,Ideal,E,VVS1,61.7,56.0,4.46,4.42,2.74,1052
24334,1.71,Premium,G,VS1,62.3,58.0,7.65,7.61,4.75,17197
1713,0.53,Good,E,SI1,63.6,56.0,5.19,5.1,3.27,1224
10205,1.08,Ideal,H,VS2,62.1,56.0,6.59,6.56,4.08,5839
5352,0.71,Premium,E,SI1,61.4,58.0,5.77,5.73,3.53,2817
15655,1.08,Ideal,D,SI1,61.8,56.0,6.62,6.69,4.11,6078
26585,2.02,Premium,F,SI2,61.7,58.0,8.15,8.11,5.02,18487
8887,0.31,Ideal,D,VS2,62.1,54.0,4.33,4.37,2.7,734
15303,1.5,Premium,G,VVS2,62.7,58.0,7.28,7.32,4.58,14157
12580,0.24,Very Good,F,VVS2,62.0,58.0,3.95,3.98,2.46,552
20709,0.27,Very Good,E,VVS2,61.9,58.0,4.1,4.14,2.55,575
9743,0.61,Ideal,E,VS2,61.9,53.0,5.45,5.5,3.39,2248
2678,0.57,Premium,E,SI2,62.5,54.0,5.35,5.3,3.33,1058
10631,0.9,Premium,H,VS2,60.4,59.0,6.24,6.27,3.78,4321
6412,1.36,Very Good,G,VVS2,60.8,60.0,7.12,7.16,4.34,11774
15009,2.11,Ideal,I,VS2,60.3,61.0,8.29,8.22,4.98,16512
25509,0.9,Very Good,J,SI2,63.3,59.0,6.08,6.12,3.86,2973
18561,0.7,Premium,I,VVS1,59.1,60.0,5.8,5.77,3.42,2536
1769,0.51,Ideal,D,SI1,61.7,55.0,5.11,5.16,3.17,1569
1878,0.33,Ideal,D,SI1,62.5,54.0,4.43,4.44,2.77,608
17230,1.51,Very Good,G,VS1,59.5,59.0,7.41,7.45,4.42,14028
21686,1.13,Very Good,H,SI2,62.5,62.0,6.59,6.66,4.14,4537
25666,2.04,Premium,H,SI1,63.0,58.0,8.1,8.03,5.08,18115
1264,1.3,Very Good,H,SI2,62.8,58.0,6.93,7.01,4.38,6140
4688,0.71,Very Good,H,VVS2,62.5,56.0,5.65,5.68,3.54,2594
13835,1.2,Very Good,J,SI1,61.3,59.0,6.83,6.9,4.21,4891
1546,0.41,Very Good,E,VS2,62.5,56.0,4.75,4.79,2.98,960
18820,0.8,Very Good,H,SI1,63.3,58.0,5.93,5.89,3.74,2485
26929,0.72,Very Good,H,VS2,62.9,58.0,5.7,5.75,3.6,2396
22176,1.15,Premium,I,SI1,62.2,59.0,6.75,6.68,4.18,4830
14488,1.27,Premium,J,SI1,61.8,58.0,6.97,6.91,4.29,5121
14757,2.02,Premium,I,SI2,62.9,60.0,8.05,8.01,5.05,13991
3189,1.51,Very Good,F,SI1,59.4,57.0,7.48,7.57,4.47,10838
18989,0.36,Ideal,D,VS2,61.8,55.0,4.58,4.61,2.84,800
23022,0.74,Ideal,G,VS2,61.3,55.0,5.82,5.89,3.59,2604
26457,0.42,Very Good,E,SI1,59.8,61.0,4.85,4.89,2.91,722
17857,1.51,Premium,G,VS2,62.5,59.0,7.28,7.34,4.57,12756
9203,1.2,Very Good,G,SI1,63.4,55.0,6.72,6.65,4.24,4520
1507,0.32,Very Good,H,SI1,63.1,58.0,4.36,4.33,2.74,591
23448,1.2,Good,G,VS1,62.8,59.0,6.64,6.7,4.19,8442
24114,0.9,Fair,F,VS2,58.9,67.0,6.18,6.17,3.64,3992
4874,0.33,Premium,G,VS1,61.6,58.0,4.44,4.39,2.72,854
15321,2.14,Premium,H,VS2,61.7,58.0,8.28,8.22,5.09,16390
16802,1.02,Very Good,D,SI1,60.3,56.0,6.55,6.57,3.96,6863
14649,1.31,Very Good,I,SI2,62.7,58.0,6.88,6.94,4.33,5916
21760,1.0,Good,D,SI2,57.8,58.0,6.61,6.55,3.8,4295
20660,0.4,Very Good,E,VS2,61.2,60.0,4.79,4.68,2.9,912
5586,0.31,Ideal,G,VS2,61.4,56.0,4.34,4.36,2.67,544
20768,0.4,Very Good,G,IF,61.2,57.0,4.77,4.79,2.92,1220
19767,0.3,Premium,G,VVS1,61.7,58.0,4.3,4.26,2.64,1013
2453,0.32,Premium,H,VVS2,61.0,58.0,4.44,4.41,2.7,828
21647,1.25,Premium,I,VS1,60.4,59.0,7.01,6.94,4.21,6664
17546,1.14,Very Good,E,IF,,57.0,6.63,6.71,4.22,12647
20574,0.23,Very Good,E,VVS1,60.0,59.0,3.97,4.03,2.4,530
16542,0.7,Ideal,E,VS2,62.6,56.0,5.65,5.69,3.55,3068
6052,1.31,Ideal,H,VS1,62.5,56.0,6.95,7.03,4.37,8617
9729,1.71,Ideal,J,SI1,62.8,57.0,7.58,7.55,4.75,6320
15348,0.35,Ideal,I,VS1,60.9,57.0,4.54,4.59,2.78,552
12792,0.56,Very Good,F,SI1,62.9,56.0,5.25,5.27,3.31,1436
8344,0.9,Good,F,SI1,,59.0,6.1,6.13,3.82,4119
22025,1.51,Fair,I,VS2,64.6,58.0,7.19,7.15,4.63,8287
4478,0.41,Very Good,J,VS2,63.4,56.0,4.73,4.7,2.99,784
5916,0.31,Ideal,G,IF,60.2,59.0,4.37,4.4,2.64,891
1580,0.8,Ideal,G,VS2,62.1,57.0,5.95,6.0,3.71,3494
21193,0.32,Ideal,E,VS1,61.9,56.0,4.41,4.38,2.72,972
3283,0.34,Ideal,E,VVS1,62.2,56.0,4.44,4.46,2.77,1014
8674,0.34,Ideal,G,IF,60.9,56.0,4.5,4.53,2.75,974
18982,0.36,Ideal,I,VVS1,61.7,56.0,4.59,4.62,2.84,824
10149,1.54,Very Good,I,SI2,63.3,60.0,7.34,7.31,4.64,7437
3613,1.12,Ideal,G,VS1,61.1,56.0,6.7,6.73,4.1,8080
24467,0.67,Ideal,G,VS2,62.5,56.0,5.64,5.56,3.5,2010
26125,0.31,Premium,G,VS2,,59.0,4.4,4.38,2.63,698
24073,0.53,Ideal,H,VS1,61.2,56.0,5.23,5.26,3.21,1601
4115,1.01,Very Good,F,IF,61.9,59.0,6.38,6.45,3.97,10476
9946,0.44,Ideal,E,VS2,61.5,56.0,4.92,4.9,3.02,1073
25768,1.01,Ideal,G,SI1,63.0,57.0,6.37,6.4,4.02,5555
25615,0.93,Ideal,I,SI1,62.0,57.0,6.22,6.26,3.87,2917
26255,1.01,Very Good,H,SI2,58.8,58.0,6.57,6.62,3.88,4166
18034,1.07,Good,H,VS2,63.8,57.0,6.54,6.47,4.15,5758
6874,0.9,Very Good,G,VS1,62.7,60.0,6.06,6.13,3.82,4540
8224,1.56,Ideal,H,SI1,62.2,55.0,7.41,7.45,4.62,12082
16964,1.54,Premium,G,SI2,62.4,57.0,7.39,7.36,4.6,8969
15131,0.9,Very Good,G,SI1,63.6,57.0,6.07,6.13,3.88,3718
4340,0.31,Ideal,D,VS1,60.5,57.0,4.4,4.43,2.67,766
16814,0.55,Premium,F,VS2,62.7,58.0,5.28,5.25,3.3,2376
9636,0.51,Ideal,G,IF,62.4,54.0,5.12,5.17,3.21,2096
1033,0.9,Ideal,D,SI1,61.3,58.0,6.16,6.21,3.79,4661
14108,1.16,Ideal,I,SI1,61.7,56.0,6.76,6.7,4.15,4668
26350,0.42,Premium,D,SI1,,59.0,4.91,4.86,2.92,1040
17761,0.32,Very Good,H,SI2,60.4,59.0,4.39,4.42,2.66,393
15744,2.23,Premium,J,VS2,61.0,58.0,8.39,8.36,5.11,14867
5162,0.96,Premium,I,SI2,,62.0,6.48,6.38,3.79,2454
10517,0.7,Good,I,SI1,58.2,61.0,5.8,5.84,3.39,2028
14354,1.05,Premium,G,IF,60.6,60.0,6.59,6.57,3.99,9012
24527,0.31,Good,E,SI1,63.1,55.0,4.33,4.36,2.74,544
8845,1.04,Very Good,F,VS1,61.6,60.0,6.49,6.54,4.01,8090
6827,0.67,Good,F,VS1,64.4,57.0,5.55,5.6,3.6,2244
